id	total_copies_per_g	total_dna	Isotope	Moisture	isotopolog
S149	34838664.742527165	74.46538767091361	12C	Normal	glucose
S150	53528072.13	109.01522304585444	12C	Normal	glucose
S151	95774991.65362972	182.16851951242518	12C	Normal	glucose
S152	9126192.334755396	23.689634322799805	12C	Normal	glucose
S161	41744046.112569004	67.62551901588233	12C	Drought	glucose
S162	49402713.278803885	94.21217352500754	12C	Drought	glucose
S163	47777726.00602821	87.82524502272986	12C	Drought	glucose
S164	48734282.247153126	75.97274331433123	12C	Drought	glucose
S178	62964477.73434493	73.89525832971283	13C	Normal	glucose
S179	49475460.08057484	68.65181621300997	13C	Normal	glucose
S180	51720787.23888564	81.36873681448819	13C	Normal	glucose
S200	59426155.35143311	71.19376746004811	13C	Drought	glucose
S201	56379701.69904946	73.78225171	13C	Drought	glucose
S202	42562197.62367977	108.11435722370693	13C	Drought	glucose
S203	49914369.466941476	80.48608167805065	13C	Drought	glucose